date,bases,open_access_bases,bytes,open_access_bytes
02/07/2013,1.10204E+15,4.59501E+14,8.31463E+14,4.29336E+14
02/08/2013,1.10327E+15,4.59587E+14,8.32132E+14,4.29394E+14
02/09/2013,1.10544E+15,4.6032E+14,8.33441E+14,4.29871E+14
02/10/2013,1.10982E+15,4.61193E+14,8.36511E+14,4.305E+14
02/11/2013,1.11086E+15,4.61374E+14,8.37089E+14,4.30625E+14
02/12/2013,1.11488E+15,4.6155E+14,8.3931E+14,4.3078E+14
02/13/2013,1.11929E+15,4.62737E+14,8.41865E+14,4.31567E+14
02/14/2013,1.12241E+15,4.63558E+14,8.43652E+14,4.32121E+14
02/15/2013,1.13927E+15,4.79446E+14,8.54298E+14,4.42285E+14
02/16/2013,1.14125E+15,4.798E+14,8.55335E+14,4.42523E+14
02/17/2013,1.14261E+15,4.79832E+14,8.56016E+14,4.42548E+14
02/18/2013,1.14708E+15,4.8264E+14,8.58733E+14,4.44452E+14
02/19/2013,1.14811E+15,4.82796E+14,8.59374E+14,4.44561E+14
02/20/2013,1.14855E+15,4.83237E+14,8.59673E+14,4.4486E+14
02/21/2013,1.14939E+15,4.84081E+14,8.60261E+14,4.45448E+14
02/22/2013,1.1556E+15,4.85173E+14,8.63681E+14,4.46189E+14
02/23/2013,1.15566E+15,4.85231E+14,8.63721E+14,4.46229E+14
02/24/2013,1.15589E+15,4.85459E+14,8.63869E+14,4.46377E+14
02/25/2013,1.15632E+15,4.85896E+14,8.64137E+14,4.46644E+14
02/26/2013,1.15674E+15,4.86308E+14,8.64369E+14,4.46876E+14
02/27/2013,1.15786E+15,4.87433E+14,8.65123E+14,4.4763E+14
02/28/2013,1.15876E+15,4.88144E+14,8.65698E+14,4.48111E+14
03/01/2013,1.16314E+15,4.91095E+14,8.68339E+14,4.50038E+14
03/02/2013,1.16329E+15,4.91254E+14,8.68432E+14,4.50131E+14
03/03/2013,1.16358E+15,4.91268E+14,8.68619E+14,4.50143E+14
03/04/2013,1.16375E+15,4.91437E+14,8.68729E+14,4.50253E+14
03/05/2013,1.16429E+15,4.9198E+14,8.69077E+14,4.50601E+14
03/06/2013,1.16511E+15,4.92627E+14,8.69607E+14,4.51038E+14
03/07/2013,1.16551E+15,4.93026E+14,8.69867E+14,4.51298E+14
03/08/2013,1.16776E+15,4.93641E+14,8.71012E+14,4.51721E+14
03/09/2013,1.1681E+15,4.93965E+14,8.7124E+14,4.5194E+14
03/10/2013,1.16827E+15,4.9413E+14,8.71329E+14,4.52029E+14
03/11/2013,1.16911E+15,4.94973E+14,8.71897E+14,4.52597E+14
03/12/2013,1.16973E+15,4.95588E+14,8.72359E+14,4.53059E+14
03/13/2013,1.17069E+15,4.9655E+14,8.73054E+14,4.53754E+14
03/14/2013,1.17269E+15,4.97621E+14,8.74172E+14,4.5441E+14
03/15/2013,1.177E+15,4.97873E+14,8.76423E+14,4.54579E+14
03/16/2013,1.17822E+15,4.98144E+14,8.77079E+14,4.54762E+14
03/17/2013,1.18289E+15,4.98212E+14,8.79257E+14,4.54814E+14
03/18/2013,1.1847E+15,4.99386E+14,8.80334E+14,4.55589E+14
03/19/2013,1.18644E+15,5.01121E+14,8.81392E+14,4.56647E+14
03/20/2013,1.18692E+15,5.01607E+14,8.8166E+14,4.56915E+14
03/21/2013,1.18878E+15,5.03459E+14,8.8274E+14,4.57994E+14
03/22/2013,1.19457E+15,5.08477E+14,8.85905E+14,4.60809E+14
03/23/2013,1.19916E+15,5.13061E+14,8.88717E+14,4.63622E+14
03/24/2013,1.20103E+15,5.14936E+14,8.89788E+14,4.64692E+14
03/25/2013,1.20145E+15,5.15352E+14,8.90038E+14,4.64939E+14
03/26/2013,1.20317E+15,5.17071E+14,8.91166E+14,4.66067E+14
03/27/2013,1.20576E+15,5.19661E+14,8.92809E+14,4.6771E+14
03/28/2013,1.20686E+15,5.20763E+14,8.93502E+14,4.68404E+14
03/29/2013,1.20756E+15,5.21361E+14,8.93922E+14,4.68773E+14
03/30/2013,1.20814E+15,5.21537E+14,8.94302E+14,4.68892E+14
03/31/2013,1.20822E+15,5.2162E+14,8.94359E+14,4.68949E+14
04/01/2013,1.20955E+15,5.22944E+14,8.95221E+14,4.69811E+14
04/02/2013,1.21117E+15,5.23809E+14,8.9616E+14,4.70361E+14
04/03/2013,1.21368E+15,5.24702E+14,8.97571E+14,4.70938E+14
04/04/2013,1.21633E+15,5.25449E+14,8.99051E+14,4.71434E+14
04/05/2013,1.21952E+15,5.25773E+14,9.00744E+14,4.71625E+14
04/06/2013,1.22053E+15,5.25894E+14,9.01287E+14,4.71701E+14
04/07/2013,1.22125E+15,5.26099E+14,9.01705E+14,4.71806E+14
04/08/2013,1.22322E+15,5.27389E+14,9.03057E+14,4.72688E+14
04/09/2013,1.26767E+15,5.71803E+14,9.3145E+14,5.01063E+14
04/10/2013,1.2707E+15,5.74833E+14,9.33402E+14,5.03015E+14
04/11/2013,1.27259E+15,5.76725E+14,9.34601E+14,5.04213E+14
04/12/2013,1.27531E+15,5.7945E+14,9.36184E+14,5.05796E+14
04/13/2013,1.27732E+15,5.81452E+14,9.37456E+14,5.07069E+14
04/14/2013,1.27902E+15,5.83151E+14,9.3856E+14,5.08173E+14
04/15/2013,1.2847E+15,5.88835E+14,9.42336E+14,5.11949E+14
04/16/2013,1.29856E+15,6.02695E+14,9.51893E+14,5.21506E+14
04/17/2013,1.30911E+15,6.13241E+14,9.59061E+14,5.28674E+14
04/18/2013,1.31426E+15,6.18392E+14,9.62382E+14,5.31995E+14
04/19/2013,1.31781E+15,6.21947E+14,9.64614E+14,5.34226E+14
04/20/2013,1.31942E+15,6.23556E+14,9.65673E+14,5.35286E+14
04/21/2013,1.32088E+15,6.25013E+14,9.66612E+14,5.36224E+14
04/22/2013,1.32241E+15,6.26302E+14,9.675E+14,5.37015E+14
04/23/2013,1.32468E+15,6.28206E+14,9.69137E+14,5.3849E+14
04/24/2013,1.33039E+15,6.33639E+14,9.7271E+14,5.41899E+14
04/25/2013,1.33396E+15,6.3721E+14,9.74983E+14,5.44172E+14
04/26/2013,1.34384E+15,6.4709E+14,9.8166E+14,5.50849E+14
04/27/2013,1.35713E+15,6.60365E+14,9.90976E+14,5.60155E+14
04/28/2013,1.37324E+15,6.76479E+14,1.00195E+15,5.71126E+14
04/29/2013,1.38019E+15,6.83424E+14,1.00661E+15,5.75789E+14
04/30/2013,1.38172E+15,6.84913E+14,1.00768E+15,5.76839E+14
05/01/2013,1.3831E+15,6.86297E+14,1.00859E+15,5.77748E+14
05/02/2013,1.38523E+15,6.88094E+14,1.00995E+15,5.78933E+14
05/03/2013,1.3881E+15,6.90369E+14,1.0118E+15,5.80494E+14
05/04/2013,1.39019E+15,6.905E+14,1.01283E+15,5.80574E+14
05/05/2013,1.39213E+15,6.90983E+14,1.01385E+15,5.80882E+14
05/06/2013,1.39338E+15,6.91591E+14,1.01451E+15,5.81236E+14
05/07/2013,1.39516E+15,6.93373E+14,1.0156E+15,5.82329E+14
05/08/2013,1.39715E+15,6.95337E+14,1.01684E+15,5.83542E+14
05/09/2013,1.57132E+15,6.96425E+14,1.13517E+15,5.84222E+14
05/10/2013,1.574E+15,6.98207E+14,1.13673E+15,5.85412E+14
05/11/2013,1.57482E+15,6.9873E+14,1.13723E+15,5.85742E+14
05/12/2013,1.57502E+15,6.98931E+14,1.13735E+15,5.85866E+14
05/13/2013,1.57618E+15,7.00021E+14,1.13812E+15,5.86605E+14
05/14/2013,1.57699E+15,7.00837E+14,1.13862E+15,5.87109E+14
05/15/2013,1.58062E+15,7.04163E+14,1.14076E+15,5.89084E+14
05/16/2013,1.58091E+15,7.04413E+14,1.14095E+15,5.89254E+14
05/17/2013,1.58332E+15,7.04788E+14,1.14205E+15,5.89492E+14
05/18/2013,1.58335E+15,7.0482E+14,1.14207E+15,5.89515E+14
05/19/2013,1.5843E+15,7.04901E+14,1.14259E+15,5.89566E+14
05/20/2013,1.58605E+15,7.05874E+14,1.14366E+15,5.90218E+14
05/21/2013,1.58607E+15,7.05896E+14,1.14368E+15,5.90236E+14
05/22/2013,1.58685E+15,7.066E+14,1.14422E+15,5.90736E+14
05/23/2013,1.58765E+15,7.07373E+14,1.14475E+15,5.91247E+14
05/24/2013,1.58839E+15,7.07943E+14,1.14514E+15,5.9156E+14
05/25/2013,1.58849E+15,7.08048E+14,1.14521E+15,5.91631E+14
05/26/2013,1.58853E+15,7.08088E+14,1.14524E+15,5.91657E+14
05/27/2013,1.5903E+15,7.0986E+14,1.14632E+15,5.92743E+14
05/28/2013,1.59181E+15,7.11366E+14,1.14731E+15,5.9373E+14
05/29/2013,1.59252E+15,7.1208E+14,1.1478E+15,5.94223E+14
05/30/2013,1.59446E+15,7.14017E+14,1.1491E+15,5.95525E+14
05/31/2013,1.59507E+15,7.14625E+14,1.14944E+15,5.9586E+14
06/01/2013,1.59698E+15,7.15345E+14,1.1504E+15,5.96318E+14
06/02/2013,1.59699E+15,7.15356E+14,1.15041E+15,5.96324E+14
06/03/2013,1.59822E+15,7.16582E+14,1.15122E+15,5.97137E+14
06/04/2013,1.60318E+15,7.21544E+14,1.15495E+15,6.00867E+14
06/05/2013,1.60516E+15,7.23522E+14,1.15634E+15,6.02252E+14
06/06/2013,1.60697E+15,7.2446E+14,1.15731E+15,6.02815E+14
06/07/2013,1.60872E+15,7.2558E+14,1.15831E+15,6.03533E+14
06/08/2013,1.60975E+15,7.26615E+14,1.15899E+15,6.04205E+14
06/09/2013,1.60993E+15,7.26795E+14,1.1591E+15,6.04324E+14
06/10/2013,1.61523E+15,7.32094E+14,1.16259E+15,6.07805E+14
06/11/2013,1.62011E+15,7.36978E+14,1.16584E+15,6.11058E+14
06/12/2013,1.62405E+15,7.39944E+14,1.16822E+15,6.13E+14
06/13/2013,1.62626E+15,7.42156E+14,1.16969E+15,6.1447E+14
06/14/2013,1.62753E+15,7.43423E+14,1.17075E+15,6.15531E+14
06/15/2013,1.62815E+15,7.44048E+14,1.17117E+15,6.15959E+14
06/16/2013,1.62831E+15,7.44205E+14,1.17128E+15,6.16068E+14
06/17/2013,1.63088E+15,7.46061E+14,1.17285E+15,6.17316E+14
06/18/2013,1.63197E+15,7.46671E+14,1.17348E+15,6.17685E+14
06/19/2013,1.63543E+15,7.49507E+14,1.17532E+15,6.19212E+14
06/20/2013,1.6377E+15,7.50772E+14,1.17668E+15,6.20064E+14
06/21/2013,1.63866E+15,7.51327E+14,1.17728E+15,6.20441E+14
06/22/2013,1.63869E+15,7.51357E+14,1.1773E+15,6.20462E+14
06/23/2013,1.63919E+15,7.51859E+14,1.17762E+15,6.20781E+14
06/24/2013,1.63962E+15,7.52115E+14,1.17787E+15,6.20946E+14
06/25/2013,1.64028E+15,7.52778E+14,1.17827E+15,6.21355E+14
06/26/2013,1.64735E+15,7.59845E+14,1.1827E+15,6.25783E+14
06/27/2013,1.64782E+15,7.60266E+14,1.18301E+15,6.2606E+14
